Keyblades,,,,,,
Name,Attack,Strength,MP,Description,Location,Note
Stout Shield,1,0,0,A large shield better suited for defense than offense. Effective against various forms of attack.,Buy in Traverse Town,250
Golem Shield,3,2,0,A large shield best suited for defense. Also an effective assault weapon.,Buy in Traverse Town,1000
Adamant Shield,5,4,0,"A large shield best suited for defense. Effective against various attacks, and also a powerful assault weapon.",Buy in Traverse Town,4000
Mythril Shield,4,3,0,A shield that strikes a fine balance between attack and defense.,Buy in Traverse Town,750
Onyx Shield,6,5,0,A well-balanced and effective shield for both attack and defense.,Buy in Traverse Town,2800
Herc's Shield,9,8,0,A shield with enormous power sealed within. Made for attacking.,Complete the Hercules Cup,N/A
Genji Shield,8,7,0,A shield of surpassing offensive and defensive strength.,Defeat Yuffie in the Hades cup,N/A
Defender,10,9,1,A rugged shield sometimes left behind by Defenders. Raises max MP by 1.,Rare drop from Defender Heartless,N/A
Dream Shield,6,5,2,A shield to protect loved ones. Raises max MP by 2.,Speak to Merlin after obtaining all seven Spell Arts.,N/A
Mighty Shield (Final Mix exclusive),15,14,0,"The most powerful shield. Small, but effective",Chest at the Never Land section of the World Terminus at The End of the World.,N/A
Seven Elements (Final Mix exclusive),4,4,3,A shield that focuses solely on magic. Raises max MP by 3.,Item Synthesis,N/A
Save the King,10,9,2,A royally powerful shield. Raises max MP by 2.,Complete the time trial for the Hades Cup.,N/A
