id,character,episode,world,category,source_position,name,area,count_scope,detail_status,source
bbsfm:terra:land-of-departure:treasure:1,Terra,main,Land of Departure,treasure,1,Pulsing Crystal,Mountain Path,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Land_of_Departure
bbsfm:terra:castle-of-dreams:treasure:1,Terra,main,Castle of Dreams,treasure,1,Thunderstorm,The Chateau,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:terra:castle-of-dreams:treasure:2,Terra,main,Castle of Dreams,treasure,2,Pulsing Crystal,Palace Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:terra:castle-of-dreams:treasure:3,Terra,main,Castle of Dreams,treasure,3,Wellspring Crystal,Palace Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:terra:castle-of-dreams:treasure:4,Terra,main,Castle of Dreams,treasure,4,Slow,Palace Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:terra:castle-of-dreams:treasure:5,Terra,main,Castle of Dreams,treasure,5,Map,Palace Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:terra:castle-of-dreams:treasure:6,Terra,main,Castle of Dreams,treasure,6,Fleeting Crystal,Ballroom Balcony,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:terra:castle-of-dreams:treasure:7,Terra,main,Castle of Dreams,treasure,7,Strike Raid,Foyer,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:terra:castle-of-dreams:treasure:8,Terra,main,Castle of Dreams,treasure,8,Potion,Foyer,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:terra:castle-of-dreams:treasure:9,Terra,main,Castle of Dreams,treasure,9,Hi-Potion,Foyer,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:terra:castle-of-dreams:treasure:10,Terra,main,Castle of Dreams,treasure,10,Soothing Crystal,Foyer,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:terra:castle-of-dreams:treasure:11,Terra,main,Castle of Dreams,treasure,11,Thunder,Antechamber,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:1,Ventus,main,Castle of Dreams,treasure,1,Map,Cinderella's Room,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:2,Ventus,main,Castle of Dreams,treasure,2,Stun Edge,Cinderella's Room,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:3,Ventus,main,Castle of Dreams,treasure,3,Magic Recipe,Cinderella's Room,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:4,Ventus,main,Castle of Dreams,treasure,4,Potion,Mousehole,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:5,Ventus,main,Castle of Dreams,treasure,5,Thunderstorm,Mousehole,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:6,Ventus,main,Castle of Dreams,treasure,6,Ether,Mousehole,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:7,Ventus,main,Castle of Dreams,treasure,7,Pulsing Crystal,Mousehole,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:8,Ventus,main,Castle of Dreams,treasure,8,Potion,Mousehole,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:9,Ventus,main,Castle of Dreams,treasure,9,Hungry Crystal,Mousehole,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:10,Ventus,main,Castle of Dreams,treasure,10,Zero Gravity,Wardrobe Room,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:11,Ventus,main,Castle of Dreams,treasure,11,Balloon Letter,Wardrobe Room,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:12,Ventus,main,Castle of Dreams,treasure,12,Blizzard,Wardrobe Room,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:ventus:castle-of-dreams:treasure:13,Ventus,main,Castle of Dreams,treasure,13,Fleeting Crystal,Wardrobe Room,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:aqua:castle-of-dreams:treasure:1,Aqua,main,Castle of Dreams,treasure,1,Magic Recipe,The Chateau,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:aqua:castle-of-dreams:treasure:2,Aqua,main,Castle of Dreams,treasure,2,Hi-Potion,Palace Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:aqua:castle-of-dreams:treasure:3,Aqua,main,Castle of Dreams,treasure,3,Slow,Palace Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:aqua:castle-of-dreams:treasure:4,Aqua,main,Castle of Dreams,treasure,4,Potion,Palace Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:aqua:castle-of-dreams:treasure:5,Aqua,main,Castle of Dreams,treasure,5,Fleeting Crystal,Foyer,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:aqua:castle-of-dreams:treasure:6,Aqua,main,Castle of Dreams,treasure,6,Barrier Surge,Foyer,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:aqua:castle-of-dreams:treasure:7,Aqua,main,Castle of Dreams,treasure,7,Potion,Foyer,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:aqua:castle-of-dreams:treasure:8,Aqua,main,Castle of Dreams,treasure,8,Thunderstorm,Foyer,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Castle_of_Dreams
bbsfm:terra:enchanted-dominion:treasure:1,Terra,main,Enchanted Dominion,treasure,1,Potion,Waterside,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:terra:enchanted-dominion:treasure:2,Terra,main,Enchanted Dominion,treasure,2,Pulsing Crystal,Waterside,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:terra:enchanted-dominion:treasure:3,Terra,main,Enchanted Dominion,treasure,3,Blizzard,Forest Clearing,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:terra:enchanted-dominion:treasure:4,Terra,main,Enchanted Dominion,treasure,4,Zero Gravity,Audience Chamber,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:terra:enchanted-dominion:treasure:5,Terra,main,Enchanted Dominion,treasure,5,Ether,Audience Chamber,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:terra:enchanted-dominion:treasure:6,Terra,main,Enchanted Dominion,treasure,6,Potion,Audience Chamber,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:terra:enchanted-dominion:treasure:7,Terra,main,Enchanted Dominion,treasure,7,Ether,Hallway,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:terra:enchanted-dominion:treasure:8,Terra,main,Enchanted Dominion,treasure,8,Map,Aurora's Chamber,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:terra:enchanted-dominion:treasure:9,Terra,main,Enchanted Dominion,treasure,9,Sleep,Tower Room,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:terra:enchanted-dominion:treasure:10,Terra,main,Enchanted Dominion,treasure,10,Attack Recipe,Tower Room,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:1,Ventus,main,Enchanted Dominion,treasure,1,Balloon Letter,Gates,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:2,Ventus,main,Enchanted Dominion,treasure,2,Soothing Crystal,Gates,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:3,Ventus,main,Enchanted Dominion,treasure,3,Cure,Gates,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:4,Ventus,main,Enchanted Dominion,treasure,4,Wellspring Crystal,Gates,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:5,Ventus,main,Enchanted Dominion,treasure,5,Absolute Zero,Gates,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:6,Ventus,main,Enchanted Dominion,treasure,6,Hi-Potion,Maleficent's Throne,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:7,Ventus,main,Enchanted Dominion,treasure,7,Fleeting Crystal,Dungeon,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:8,Ventus,main,Enchanted Dominion,treasure,8,Tornado Strike,Dungeon,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:9,Ventus,main,Enchanted Dominion,treasure,9,Wellspring Crystal,Hall,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:10,Ventus,main,Enchanted Dominion,treasure,10,Hungry Crystal,Hall,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:11,Ventus,main,Enchanted Dominion,treasure,11,Magnet,Hall,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:12,Ventus,main,Enchanted Dominion,treasure,12,Hi-Potion,Hall,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:13,Ventus,main,Enchanted Dominion,treasure,13,Ether,Forbidden Mountain,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:14,Ventus,main,Enchanted Dominion,treasure,14,Potion,Waterside,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:15,Ventus,main,Enchanted Dominion,treasure,15,Map,Forest Clearing,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:16,Ventus,main,Enchanted Dominion,treasure,16,Hi-Potion,Audience Chamber,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:17,Ventus,main,Enchanted Dominion,treasure,17,Thunder,Audience Chamber,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:18,Ventus,main,Enchanted Dominion,treasure,18,Hi-Potion,Hallway,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:ventus:enchanted-dominion:treasure:19,Ventus,main,Enchanted Dominion,treasure,19,Sleep,Tower Room,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:1,Aqua,main,Enchanted Dominion,treasure,1,Map,Dungeon Cell,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:2,Aqua,main,Enchanted Dominion,treasure,2,Absolute Zero,Gates,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:3,Aqua,main,Enchanted Dominion,treasure,3,Wellspring Crystal,Gates,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:4,Aqua,main,Enchanted Dominion,treasure,4,Cure,Gates,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:5,Aqua,main,Enchanted Dominion,treasure,5,Pulsing Crystal,Gates,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:6,Aqua,main,Enchanted Dominion,treasure,6,Sleep,Gates,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:7,Aqua,main,Enchanted Dominion,treasure,7,Confusion Strike,Maleficent's Throne,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:8,Aqua,main,Enchanted Dominion,treasure,8,Hi-Potion,Dungeon,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:9,Aqua,main,Enchanted Dominion,treasure,9,Ice Barrage,Dungeon,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:10,Aqua,main,Enchanted Dominion,treasure,10,Hi-Potion,Forbidden Mountain,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:11,Aqua,main,Enchanted Dominion,treasure,11,Ether,Waterside,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:12,Aqua,main,Enchanted Dominion,treasure,12,Balloon Letter,Waterside,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:13,Aqua,main,Enchanted Dominion,treasure,13,Potion,Waterside,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:aqua:enchanted-dominion:treasure:14,Aqua,main,Enchanted Dominion,treasure,14,Hi-Potion,Forest Clearing,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Enchanted_Dominion
bbsfm:terra:radiant-garden:treasure:1,Terra,main,Radiant Garden,treasure,1,Fira,Outer Gardens,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Radiant_Garden
bbsfm:terra:radiant-garden:treasure:2,Terra,main,Radiant Garden,treasure,2,Pulsing Crystal,Outer Gardens,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Radiant_Garden
bbsfm:terra:radiant-garden:treasure:3,Terra,main,Radiant Garden,treasure,3,Potion,Central Square,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Radiant_Garden
bbsfm:terra:radiant-garden:treasure:4,Terra,main,Radiant Garden,treasure,4,Hi-Potion,Central Square,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Radiant_Garden
